miRBase cluster	Algorithm cluster
mir-10	mir-1
mir-196	mir-196
mir-24	mir-24
mir-129	mir-129
mir-128	mir-128
mir-132	mir-132
mir-375	mir-375
mir-193	mir-193
mir-365	mir-365
mir-138	mir-138
mir-205	mir-205
mir-276	mir-276
mir-21	mir-21
mir-221	mir-222
mir-28	mir-28
mir-214	mir-214
mir-450	mir-450
mir-126	mir-126
mir-96	mir-96_1
mir-182	mir-182
mir-140	mir-140
mir-143	mir-143
mir-499	mir-499
mir-208	mir-208
mir-551	mir-551
mir-455	mir-455
mir-139	mir-139
mir-315	mir-315
mir-145	mir-145
mir-275	mir-275
mir-iab-4	mir-iab-4
mir-155	mir-155
mir-12	mir-12
mir-202	mir-202
mir-191	mir-191
mir-105	mir-105
mir-305	mir-305
mir-14	mir-14
mir-451	mir-451
mir-32	mir-32
mir-460	mir-460
mir-489	mir-489
mir-344	mir-344
mir-383	mir-383
mir-11	mir-11
mir-127	mir-127
mir-425	mir-425
mir-1306	mir-1306
MIR478	MIR478
mir-497	mir-497
mir-308	mir-308
mir-981	mir-981
mir-186	mir-186
mir-486	mir-486
mir-965	mir-965
mir-2733	mir-2733
mir-927	mir-927
mir-544	mir-544
mir-8521	mir-8521b-1
mir-663	mir-663
mir-64	mir-64_1
mir-136	mir-136
mir-671	mir-671
mir-63	mir-63
MIR1861	MIR1861
mir-324	mir-324
mir-504	mir-504
mir-1244	mir-1244
mir-340	mir-340
mir-331	mir-331
mir-423	mir-423
mir-628	mir-628
mir-1000	mir-1000
mir-44	mir-45
mir-932	mir-932
mir-505	mir-505
mir-582	mir-582
mir-335	mir-335
mir-224	mir-224
mir-874	mir-874
mir-1249	mir-1249
mir-592	mir-592
mir-330	mir-330
mir-8364	mir-8364
mir-432	mir-432
mir-296	mir-296
mir-370	mir-370
mir-2238	mir-2238
mir-2024	mir-2024
mir-274	mir-274
mir-584	mir-584
mir-197	mir-197
mir-284	mir-284
mir-1544	mir-1544
mir-314	mir-314
mir-1388	mir-1388
mir-676	mir-676
mir-433	mir-433
mir-458	mir-458
mir-288	mir-288
mir-491	mir-491
mir-1255	mir-1255
mir-885	mir-885
MIR2659	MIR2659
mir-2235	mir-2235
mir-188	mir-660
mir-615	mir-615
mir-280	mir-280
mir-9223	mir-9223
mir-198	mir-198
mir-1296	mir-1296
mir-7939	mir-7939
mir-653	mir-653
mir-431	mir-431
mir-9229	mir-9229
mir-484	mir-484
mir-448	mir-448
mir-876	mir-876
mir-1307	mir-1307
mir-337	mir-337
mir-7359	mir-7359b-4
MIR1886	MIR1886
MIR6151	MIR6151
mir-7371	mir-7371
mir-1298	mir-1298
mir-550	mir-550
mir-7360	mir-7360-9
mir-242_2	mir-242_1
mir-2241	mir-2241
mir-761	mir-761
mir-599	mir-599
mir-86	mir-86
mir-456	mir-456
mir-1291	mir-1291
mir-8510	mir-8510
MIR439	MIR439
mir-632	mir-632
MIR7121	MIR7121
MIR7526	MIR7526
mir-891	mir-891
MIR1063	MIR1063
mir-384	mir-384
mir-668	mir-668
mir-3811	mir-3811
mir-1839	mir-1839
mir-289	mir-289
mir-744	mir-744
mir-325	mir-325
mir-1247	mir-1247
mir-675	mir-675
mir-980	mir-980
mir-9198	mir-9198
mir-541	mir-541
mir-654	mir-654
MIR3454	MIR3454
mir-2774	mir-2774
