miRBase cluster	Algorithm cluster
let-7	let-7_1
MIR156	MIR156
mir-10	mir-10_1
MIR166	MIR166_1
MIR395	MIR395
MIR171_1	MIR171_1
mir-154	mir-376
MIR399	MIR399
mir-515	mir-518
mir-9	mir-9_1
MIR159	MIR319
mir-25	mir-92
mir-17	mir-20
mir-30	mir-30
mir-8	mir-200
mir-29	mir-29_1
MIR169_2	MIR169_1
MIR167_1	MIR167
MIR172	MIR172
mir-2	mir-2_1
mir-1	mir-1_1
MIR160	MIR160
mir-124	mir-124
mir-7	mir-7_1
MIR396	MIR396_1
mir-133	mir-133
mir-130	mir-130
mir-548	mir-548
mir-506	mir-890
MIR164	MIR164
mir-19	mir-19
mir-2284	mir-2285
mir-103	mir-103
mir-219	mir-219
mir-15	mir-16
mir-181	mir-181_1
mir-196	mir-196
mir-26	mir-26
mir-199	mir-199
mir-135	mir-135_1
mir-27	mir-27
mir-23	mir-23
mir-31	mir-31_1
mir-190	mir-190_1
mir-218	mir-218
mir-33	mir-33
mir-148	mir-148
MIR390	MIR390
MIR2592	MIR2592
mir-184	mir-184_1
mir-24	mir-24
mir-467	mir-466
mir-137	mir-137
MIR393	MIR393
mir-153	mir-153_1
mir-430	mir-430_1
mir-101	mir-101
mir-204	mir-204
mir-129	mir-129
MIR398	MIR398
mir-36	mir-35
mir-210	mir-210
mir-128	mir-128
mir-46	mir-281
mir-146	mir-146
MIR482	MIR482_1
mir-1421	mir-1421
mir-216	mir-216
mir-34	mir-34_1
mir-132	mir-132
mir-263	mir-263
MIR394	MIR394
mir-194	mir-194
mir-375	mir-375
mir-193	mir-193_1
MIR168	MIR168
MIR2111	MIR2111
mir-192	mir-192
mir-365	mir-365
mir-22	mir-22_1
mir-302	mir-302_1
mir-138	mir-138
mir-87	mir-87
mir-252	mir-252
MIR408	MIR408
mir-205	mir-205
MIR477	MIR477
mir-276	mir-276
mir-449	mir-449
mir-279	mir-279_1
mir-71	mir-71
mir-21	mir-21
mir-221	mir-222
MIR397	MIR397
mir-28	mir-28
mir-142	mir-142
mir-6	mir-6-3
mir-320	mir-320
mir-183	mir-183_1
mir-214	mir-214
mir-500	mir-500
mir-126	mir-126
mir-450	mir-450
MIR162_1	MIR162
mir-338	mir-338
MIR403	MIR403
mir-95	mir-95
mir-67	mir-307
mir-9186	mir-9186
mir-122	mir-122
mir-96	mir-96_1
mir-144	mir-144
mir-182	mir-182_1
mir-378	mir-378_1
mir-140	mir-140
mir-203	mir-203
mir-143	mir-143
mir-188	mir-188
mir-499	mir-499
MIR171_2	MIR171_2
mir-3	mir-3
mir-1302	mir-1302-1
mir-217	mir-217
mir-139	mir-139
MIR437	MIR437
bantam	bantam_1
mir-455	mir-455
mir-208	mir-208_1
mir-551	mir-551
mir-374	mir-374
mir-187	mir-187
MIR530	MIR530
MIR2655	MIR2630
mir-317	mir-317
mir-315	mir-315
mir-223	mir-223
mir-147	mir-147
mir-278	mir-278
mir-145	mir-145
mir-277	mir-277_1
mir-155	mir-155
mir-275	mir-275
mir-363	mir-363
mir-iab-4	mir-iab-4
mir-12	mir-12
mir-202	mir-202
MIR5067	MIR5281
mir-191	mir-191
mir-150	mir-150
mir-105	mir-105
mir-305	mir-305
mir-14	mir-14
MIR535	MIR535
mir-32	mir-32
mir-282	mir-282
mir-451	mir-451
MIR812	MIR812
mir-344	mir-344
mir-489	mir-489
mir-310	mir-311
mir-383	mir-383
mir-454	mir-454
mir-490	mir-490
mir-11	mir-11
mir-316	mir-316
mir-127	mir-127
MIR444	MIR444
mir-425	mir-425
mir-1306	mir-1306
mir-7398	mir-7398_1
MIR1520	MIR1520
mir-929	mir-929
mir-290	mir-371
mir-497	mir-497
mir-1422	mir-1422
MIR478	MIR478
mir-308	mir-308
MIR7492	MIR7492
mir-186	mir-186
mir-486	mir-486
mir-286	mir-286
mir-965	mir-965
mir-981	mir-981
MIR7484	MIR7484
mir-322	mir-424
MIR828	MIR828
mir-927	mir-927
mir-136	mir-136
mir-544	mir-544
mir-663	mir-663
mir-8521	mir-8521b-1
mir-64	mir-64_1
MIR5267	MIR5267
mir-504	mir-504
mir-134	mir-134
mir-342	mir-342
mir-361	mir-361
mir-664	mir-664
mir-331	mir-331
mir-423	mir-423
mir-324	mir-324
mir-340	mir-340
mir-542	mir-542
MIR1861	MIR1861
mir-299	mir-299
mir-671	mir-671
mir-503	mir-503
mir-1244	mir-1244
mir-44	mir-45
mir-932	mir-932
mir-335	mir-335
mir-628	mir-628
mir-874	mir-874
mir-582	mir-582
mir-652	mir-652
mir-1249	mir-1249
mir-505	mir-505
mir-1000	mir-1000
mir-224	mir-224
MIR5303	MIR5303
mir-367	mir-367
mir-185	mir-185
MIR7504	MIR7504
mir-326	mir-326
mir-592	mir-592
mir-296	mir-296
mir-432	mir-432
mir-584	mir-584
mir-370	mir-370
mir-274	mir-274
mir-2238	mir-2238
mir-8364	mir-8364
mir-287	mir-287
mir-5	mir-5
mir-149	mir-149
MIR2652	MIR2652
mir-873	mir-873
MIR5185	MIR5185
mir-330	mir-330
mir-493	mir-493
mir-460	mir-460
