AC   MIPF0000001
ID   mir-1
MI   MI0013439  aae-bantam
MI   MIMAT0014299  aae-let-7
MI   MI0013455  aae-mir-1
MI   MI0013484  aae-mir-10
MI   MI0013497  aae-mir-100
MI   MI0013470  aae-mir-1175
MI   MI0013488  aae-mir-124
MI   MI0013465  aae-mir-125
MI   MI0013463  aae-mir-13
MI   MI0013482  aae-mir-133
MI   MI0013480  aae-mir-137-1
MI   MI0013481  aae-mir-137-2
MI   MI0013433  aae-mir-184
MI   MI0013454  aae-mir-190
MI   MI0013511  aae-mir-193
MI   MI0013499  aae-mir-210
MI   MI0013513  aae-mir-219
MI   MI0013438  aae-mir-252
MI   MI0013495  aae-mir-263a
MI   MI0013515  aae-mir-263b
MI   MI0013435  aae-mir-277
MI   MI0013450  aae-mir-278
MI   MI0013494  aae-mir-279
MI   MI0013447  aae-mir-281
MI   MI0013486  aae-mir-283
MI   MI0013479  aae-mir-285
MI   MI0013521  aae-mir-286a
MI   MI0013519  aae-mir-286b-1
MI   MI0013520  aae-mir-286b-2
MI   MI0013509  aae-mir-2944a
MI   MI0013510  aae-mir-2944b
MI   MI0013522  aae-mir-2945
MI   MI0013443  aae-mir-2a
MI   MI0013512  aae-mir-2b
MI   MI0013514  aae-mir-2c
MI   MI0013446  aae-mir-306
MI   MI0013501  aae-mir-307
MI   MI0013477  aae-mir-309a-1
MI   MI0013478  aae-mir-309a-2
MI   MI0013526  aae-mir-309b
MI   MI0013483  aae-mir-31
MI   MI0013523  aae-mir-316
MI   MI0013442  aae-mir-317-1
MI   MI0013524  aae-mir-317-2
MI   MI0013493  aae-mir-33
MI   MI0013456  aae-mir-34
MI   MI0013496  aae-mir-7
MI   MI0013440  aae-mir-71
MI   MI0013500  aae-mir-79
MI   MI0013437  aae-mir-8
MI   MI0013461  aae-mir-87
MI   MI0014710  aae-mir-929-1
MI   MI0014711  aae-mir-929-2
MI   MI0013445  aae-mir-92a
MI   MI0013527  aae-mir-92b
MI   MI0013458  aae-mir-957
MI   MI0013498  aae-mir-970
MI   MI0013451  aae-mir-989
MI   MI0013472  aae-mir-993
MI   MI0013460  aae-mir-996
MI   MI0013528  aae-mir-9a-1
MI   MI0013529  aae-mir-9a-2
MI   MI0013530  aae-mir-9b
MI   MI0014709  aae-mir-9c
MI   MI0018979  aau-MIR160
MI   MI0018984  aau-MIR162
MI   MI0018985  aau-MIR168
MI   MI0018980  aau-MIR172
MI   MI0018982  aau-MIR319
MI   MI0018981  aau-MIR396
MI   MIMAT0021692  aca-let-7a
MI   MIMAT0021694  aca-let-7b
MI   MI0018703  aca-let-7c-1
MI   MI0018704  aca-let-7c-2
MI   MIMAT0021699  aca-let-7d
MI   MIMAT0021701  aca-let-7e
MI   MI0018707  aca-let-7f-1
MI   MI0018708  aca-let-7f-2
MI   MIMAT0021706  aca-let-7g
MI   MIMAT0021707  aca-let-7i
MI   MI0018711  aca-mir-100
MI   MI0018712  aca-mir-101-1
MI   MI0018713  aca-mir-101-2
MI   MI0018715  aca-mir-103
MI   MI0018714  aca-mir-107
MI   MI0018716  aca-mir-10a
MI   MI0018717  aca-mir-10b
MI   MI0018718  aca-mir-10c
MI   MI0018719  aca-mir-122
MI   MI0018720  aca-mir-124a-1
MI   MI0018721  aca-mir-124a-2
MI   MI0018722  aca-mir-124a-3
MI   MI0018723  aca-mir-124b
MI   MI0018724  aca-mir-125a
MI   MI0018725  aca-mir-125b-1
MI   MI0018726  aca-mir-125b-2
MI   MI0018733  aca-mir-130a-1
MI   MI0018734  aca-mir-130a-2
MI   MI0018735  aca-mir-130b
MI   MI0018736  aca-mir-130c
MI   MI0018738  aca-mir-1329
MI   MI0018739  aca-mir-133a-1
MI   MI0018740  aca-mir-133a-2
MI   MI0018741  aca-mir-135-1
MI   MI0018742  aca-mir-135-2
MI   MI0018743  aca-mir-135-3
MI   MI0018744  aca-mir-137a
MI   MI0018745  aca-mir-137b
MI   MI0018752  aca-mir-142
MI   MI0018754  aca-mir-144
MI   MI0018756  aca-mir-146a
MI   MI0018757  aca-mir-146b
MI   MI0018759  aca-mir-148a
MI   MI0018760  aca-mir-148b
MI   MI0018762  aca-mir-153-1
MI   MI0018763  aca-mir-153-2
MI   MI0018766  aca-mir-15a
MI   MI0018765  aca-mir-15b
MI   MI0018770  aca-mir-16a
MI   MI0018771  aca-mir-16b
MI   MI0018772  aca-mir-17
MI   MI0018773  aca-mir-1788
MI   MI0018775  aca-mir-181a-1
MI   MI0018776  aca-mir-181a-2
MI   MI0018777  aca-mir-181a-3
MI   MI0018778  aca-mir-181b-1
MI   MI0018779  aca-mir-181b-2
MI   MI0018781  aca-mir-184
MI   MI0018782  aca-mir-187
MI   MI0018783  aca-mir-18a
MI   MI0018784  aca-mir-18b
MI   MI0018785  aca-mir-190a
MI   MI0018786  aca-mir-190b
MI   MI0018789  aca-mir-194-1
MI   MI0018790  aca-mir-194-2
MI   MI0018794  aca-mir-199a-1
MI   MI0018795  aca-mir-199a-2
MI   MI0018796  aca-mir-199b
MI   MI0018797  aca-mir-19a
MI   MI0018798  aca-mir-19b
MI   MI0018799  aca-mir-1a-1
MI   MI0018800  aca-mir-1a-2
MI   MI0018801  aca-mir-1b
MI   MI0018802  aca-mir-200a
MI   MI0018803  aca-mir-200b
MI   MI0018805  aca-mir-203
MI   MI0018806  aca-mir-204a-1
MI   MI0018807  aca-mir-204a-2
MI   MI0018810  aca-mir-206
MI   MI0018812  aca-mir-20a
MI   MI0018813  aca-mir-20b
MI   MI0018815  aca-mir-210
MI   MI0018818  aca-mir-215
MI   MI0018819  aca-mir-216a
MI   MI0018820  aca-mir-216b
MI   MI0018821  aca-mir-217
MI   MI0018822  aca-mir-218-1
MI   MI0018823  aca-mir-218-2
MI   MI0018824  aca-mir-2188
MI   MI0018825  aca-mir-219-1
MI   MI0018826  aca-mir-219-2
MI   MI0018827  aca-mir-22
MI   MI0018830  aca-mir-223
MI   MI0018831  aca-mir-23a
MI   MI0018832  aca-mir-23b
MI   MI0018835  aca-mir-26-1
MI   MI0018836  aca-mir-26-2
MI   MI0018837  aca-mir-27a
MI   MI0018838  aca-mir-27b
MI   MI0018840  aca-mir-29a-1
