AC   MIPF0000001
ID   let-7
MI   MIMAT0000001  cel-let-7
MI   MIMAT0011519  crm-let-7
MI   MIMAT0000463  cbr-let-7
MI   MIMAT0029682  cbn-let-7
MI   MIMAT0011657  ppc-let-7
MI   MI0024439  ipu-let-7a-2
MI   MI0013725  tgu-let-7a-4
MI   MIMAT0009604  lgi-let-7
MI   MI0001858  dre-let-7a-2
MI   MI0030579  chi-let-7a
MI   MIMAT0034943  efu-let-7c
MI   MIMAT0030345  hhi-let-7c
MI   MIMAT0024074  ggo-let-7a
MI   MIMAT0022628  ola-let-7c
MI   MI0019444  ola-let-7a-2
MI   MI0017147  pma-let-7a-4
MI   MI0014781  ppy-let-7a-3
MI   MI0012932  eca-let-7a-2
MI   MI0008399  ptr-let-7a-3
MI   MI0007572  mml-let-7a-3
MI   MI0005452  bta-let-7a-3
MI   MI0005350  mdo-let-7a-3
MI   MI0003244  fru-let-7a-3
MI   MI0001867  dre-let-7c-2
MI   MI0001866  dre-let-7c-1
MI   MI0001862  dre-let-7a-5
MI   MI0000062  hsa-let-7a-3
MI   MI0031308  oha-let-7a-3
MI   MI0003245  tni-let-7a-3
MI   MI0001863  dre-let-7a-6
MI   MI0001860  dre-let-7a-3
MI   MIMAT0001181  gga-let-7j
MI   MI0031300  oha-let-7a-2
MI   MI0030581  chi-let-7c
MI   MI0024443  ipu-let-7c-2
MI   MI0024442  ipu-let-7c-1
MI   MI0024436  ipu-let-7a-5
MI   MIMAT0024075  ggo-let-7c
MI   MIMAT0022801  sha-let-7a
MI   MI0019551  ola-let-7a-3
MI   MI0019430  ola-let-7a-1
MI   MI0018704  aca-let-7c-2
MI   MI0018703  aca-let-7c-1
MI   MI0017146  pma-let-7a-3
MI   MIMAT0018413  ngi-let-7
MI   MI0014780  ppy-let-7a-2
MI   MIMAT0015678  nvi-let-7
MI   MI0013724  tgu-let-7a-2
MI   MI0013722  tgu-let-7a-1
MI   MI0013085  ssc-let-7a-1
MI   MIMAT0012979  eca-let-7a
MI   MI0010328  cfa-let-7a-2
MI   MI0008398  ptr-let-7a-2
MI   MI0007989  cfa-let-7a-1
MI   MI0007571  mml-let-7a-2
MI   MIMAT0004418  ame-let-7
MI   MI0005451  bta-let-7a-2
MI   MI0005330  mdo-let-7a-2
MI   MI0003314  tni-let-7a-2
MI   MI0003313  fru-let-7a-2
MI   MIMAT0002151  ssc-let-7c
MI   MI0001259  gga-let-7a-2
MI   MI0001171  gga-let-7a-3
MI   MI0000830  rno-let-7c-1
MI   MI0000559  mmu-let-7c-1
MI   MI0000061  hsa-let-7a-2
MI   MI0026744  ssa-let-7a-5
MI   MI0026743  ssa-let-7a-4
MI   MI0026171  bbe-let-7a-2
MI   MI0026170  bbe-let-7a-1
MI   MI0024437  ipu-let-7a-6
MI   MI0024435  ipu-let-7a-3
